domain,threshold,precision,recall,f1
ai,0.45,0.6588041689522764,0.6743402582818642,0.6664816870144284
literature,0.55,0.7466475095785441,0.7038374717832957,0.7246107366953289
music,0.55,0.7989095574085953,0.7733623098416641,0.785928379870642
politics,0.55,0.8092691622103387,0.7678183136023194,0.7879990081824945
science,0.55,0.7192374350086655,0.6960751425696076,0.7074667575860895
