domain,threshold,precision,recall,f1
ai,0.4,0.5468258956631049,0.4884896125772038,0.5160142348754448
literature,0.5,0.6948529411764706,0.5972911963882619,0.6423889293517844
music,0.5,0.720915243312923,0.6945048121701335,0.7074636306135357
politics,0.6,0.6597038603913273,0.6028026093259241,0.6299709632622144
science,0.5,0.6718277945619335,0.596779604159678,0.6320838514833895
