domain,alpha,threshold,precision,recall,f1
ai,0.75,0.65,0.7201540436456996,0.6299831555306008,0.6720575022461814
literature,0.75,0.65,0.7739443872296602,0.6785553047404064,0.7231176329083474
music,0.75,0.65,0.8258086253369272,0.7609438062713443,0.7920504120213282
politics,1.25,0.55,0.801354401805869,0.7719255858903117,0.7863647551070637
science,0.75,0.55,0.7494398805078417,0.6732640053673264,0.7093125993991872
