document_id,cluster_id,source_group,category,char_count
doc_118d96107f37e347,near_0111,cn,other,923
doc_1ab0d5f9285873dd,near_0111,cn,other,923
doc_119d72e7da1a15d7,near_0112,cn,other,6482
doc_11b11c3165e3ec2c,near_0113,cn,construction,3155
doc_11be89564d16f703,near_0114,cn,construction,1639
doc_11f8fd4370b7fc46,near_0115,raib,collision,7469
doc_12084c2911e55c6a,near_0116,cn,emergency_drill,2936
doc_1258969f75db8be3,near_0117,cn,construction,63178
doc_127512f910fba5d8,near_0118,cn,other,26741
doc_1294bf1ca8a744d5,near_0119,raib,collision,146460
doc_12962c59504e6976,near_0120,cn,other,2785
doc_12b4f84cfc379e9a,near_0121,raib,collision,106215
doc_1368958698df6933,near_0122,cn,other,12616
doc_137f7063aee7c8da,near_0123,cn,other,15349
doc_13825c9564f5adbb,near_0124,raib,derailment,85348
doc_13b19e2735ab3db4,near_0125,cn,other,36996
doc_13da095e6e2cfc29,near_0126,cn,other,4318
doc_14227a36fb6a499e,near_0127,cn,other,8911
doc_144c0f732c6f1769,near_0128,cn,emergency_drill,1554
doc_147e4669986ada7f,near_0129,cn,other,13258
doc_14cab2fca8063ce1,near_0130,cn,construction,2910
doc_14fc0ea63ab4e3cb,near_0131,raib,derailment,99877
doc_157e3804a9760850,near_0132,cn,other,25492
doc_15b6dc7d5a7f349d,near_0133,cn,other,3738
doc_15c6f1f27ea54bc2,near_0134,cn,other,535
doc_161be47bbf32e97b,near_0135,cn,fire,2815
doc_162f604cefd404a6,near_0136,cn,fire,4073
doc_16305d8abc7a63ab,near_0137,cn,other,7994
doc_1674a781877fc5e0,near_0138,raib,collision,62640
doc_1680b3523c51c79a,near_0139,cn,hazardous_material,1079
doc_168c993a0403d1ee,near_0140,cn,emergency_drill,2318
doc_16a01f6e99540d10,near_0141,cn,other,1184
doc_16a96ec552eea421,near_0142,cn,management,13679
doc_170f864f7772cdd6,near_0143,cn,construction,4322
doc_1722fcba24c2958d,near_0144,cn,other,11307
doc_17357068ce15efd7,near_0145,raib,collision,69103
doc_173774c82e3b3a74,near_0146,cn,construction,20377
