document_id,source_group,language,category,cluster_id,relative_path,actual_format,char_count,sha256,review_status
doc_bde3b262df00db4b,cn,zh,emergency_drill,near_1101,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/02.经典版应急预案合集（129份）/02.专项应急预案（30份）/03.防洪防汛防风(三防)专项应急预案、演练方案.docx,docx,17491,3e88350a1123e8372c1ae447593e6820a719356631fcdba80c870de66bf1a63e,pending
doc_d8b9aa58d52ec184,cn,zh,emergency_drill,near_1266,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/02.经典版应急预案合集（129份）/03.应急演练方案（24份）/01.应急演练方案脚本大全.docx,docx,157731,b5e372c675ba26d2fe97feb13200d6b62e240ccb739ff849d3f02148fe3b60da,pending
doc_f776023236ee7b2e,cn,zh,emergency_drill,near_1399,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/应急演练记录/应急预案及演练记录.doc,doc,14484,f1fe5685e69eddfa669d7f77cf34f0abdefbd06605ad6fd9d897a9d55b2471a6,pending
doc_25fd564db4e496d5,cn,zh,fire,near_0226,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/医院科室火灾应急预案.docx,docx,10677,1508ccb1733bbe1a2534068e60addf21e5bc37104bb91e106b571ae6f0fd4039,pending
doc_596ece1c7d6b2ea8,cn,zh,fire,near_0552,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/电气火灾专项应急预案.docx,docx,14316,b0e4fc0eef499f13e7d99cb7aa3ea179ccfff89811428d92a8b043148b9dd371,pending
doc_5df3e3aa0103380b,cn,zh,fire,near_0580,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】通用版安全生产管理台账/专项消防台账/消防安全台账模板（建议此版本）.doc,doc,17336,99585343ba5244e2983ea5bdf00a4ace16a10ff9af7ff37919a3206e7a4aa452,pending
doc_729290c4d1245ddd,cn,zh,fire,near_0704,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/02.经典版应急预案合集（129份）/01.行业汇编合集（25份）/16.火灾应急救援预案.docx,docx,10675,ae8b5625852ed596da2aed039230736d7f367965bb63471df223c68c6cf09bc0,pending
doc_75438488a50deef9,cn,zh,fire,near_0717,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/消防应急预案/消防应急预案资料【23页】.docx,docx,20627,fd91982ddb703ab93e82af7dec7816f7bddc34c3b09e0acc10a2429ab8c359a7,pending
doc_99a8ba00d872848c,cn,zh,fire,near_0904,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/消防应急预案/消防安全应急预案【13页】.doc,doc,14786,9ebe99d3548e17475515e093f75507c2bc6315b876d07871a71a3f98b6769d11,pending
doc_9da28ec665a021a7,cn,zh,fire,near_0928,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】通用版安全生产管理台账/专项消防台账/消防安全台账模板4.doc,doc,16967,a39a61450927730f715998358b350c69c9b66deea421402b988d2a215598b5d2,pending
