domain,method,seed,epoch,loss,val_f1
ai,bigru,13,1,3.318130874633789,0.01639344262295082
ai,bigru,13,2,3.0323939323425293,0
ai,bigru,13,3,2.79368634223938,0
ai,bigru,13,4,2.5852399349212645,0
ai,bigru,13,5,2.369252395629883,0
ai,bigru,13,6,2.127216267585754,0.052631578947368425
ai,bigru,13,7,1.9025683879852295,0.0963855421686747
ai,bigru,13,8,1.5785920381546021,0.13559322033898305
ai,bigru,13,9,1.30822651386261,0.14851485148514854
ai,bigru,13,10,1.0380165696144104,0.175609756097561
ai,bigru,13,11,0.7910529732704162,0.20512820512820512
ai,bigru,13,12,0.5698141872882843,0.18811881188118812
ai,bigru,13,13,0.41080501675605774,0.21761658031088082
ai,bigru,13,14,0.28111340999603274,0.21649484536082478
ai,bigru,13,15,0.21064870357513427,0.1914893617021277
ai,bigru,29,1,3.309612512588501,0.01941747572815534
ai,bigru,29,2,3.0587676048278807,0
ai,bigru,29,3,2.7951974391937258,0
ai,bigru,29,4,2.5817999839782715,0.05357142857142857
ai,bigru,29,5,2.358298397064209,0.061068702290076333
ai,bigru,29,6,2.085556149482727,0.05633802816901408
ai,bigru,29,7,1.810521411895752,0.09142857142857143
ai,bigru,29,8,1.500703477859497,0.10256410256410257
ai,bigru,29,9,1.2428069829940795,0.10837438423645321
ai,bigru,29,10,0.9741138100624085,0.1349693251533742
ai,bigru,29,11,0.7216173648834229,0.11956521739130437
ai,bigru,29,12,0.5242753565311432,0.13414634146341464
ai,bigru,29,13,0.39964479804039,0.1724137931034483
ai,bigru,29,14,0.28749236166477204,0.18072289156626506
ai,bigru,29,15,0.20634542107582093,0.17964071856287428
ai,bigru,47,1,3.319153833389282,0
ai,bigru,47,2,3.0462812900543215,0
ai,bigru,47,3,2.798428106307983,0
ai,bigru,47,4,2.551838445663452,0.013793103448275862
ai,bigru,47,5,2.3097797870635985,0.02666666666666667
ai,bigru,47,6,2.0168540477752686,0.047058823529411764
ai,bigru,47,7,1.7103481054306031,0.08743169398907102
ai,bigru,47,8,1.3861717700958252,0.10112359550561799
ai,bigru,47,9,1.1034673690795898,0.1073170731707317
ai,bigru,47,10,0.8432977199554443,0.10526315789473684
ai,bigru,47,11,0.6111299753189087,0.1
ai,bigru,47,12,0.44846528172492983,0.08955223880597014
ai,bigru,47,13,0.33976131677627563,0.0972972972972973
ai,bigru,47,14,0.24964769780635834,0.125
ai,bigru,47,15,0.1824012279510498,0.11640211640211638
ai,cross_residual,13,1,3.256632661819458,0.01785714285714286
ai,cross_residual,13,2,2.796126127243042,0
ai,cross_residual,13,3,2.4317657470703127,0.016129032258064516
ai,cross_residual,13,4,2.121065378189087,0.060606060606060615
ai,cross_residual,13,5,1.7409846544265748,0.09782608695652174
ai,cross_residual,13,6,1.3814568042755127,0.11607142857142858
ai,cross_residual,13,7,1.079054069519043,0.1391304347826087
ai,cross_residual,13,8,0.773510193824768,0.1592920353982301
ai,cross_residual,13,9,0.5419250845909118,0.17796610169491525
ai,cross_residual,13,10,0.3512691557407379,0.2048780487804878
ai,cross_residual,13,11,0.24098544120788573,0.17857142857142858
ai,cross_residual,13,12,0.16517499685287476,0.1836734693877551
ai,cross_residual,13,13,0.10995218306779861,0.21319796954314724
ai,cross_residual,13,14,0.0844597041606903,0.2065217391304348
ai,cross_residual,13,15,0.06883425042033195,0.22340425531914895
ai,cross_residual,29,1,3.288157749176025,0.018518518518518517
ai,cross_residual,29,2,2.82293701171875,0
ai,cross_residual,29,3,2.4567709445953367,0.05405405405405406
ai,cross_residual,29,4,2.08847029209137,0.07253886010362694
ai,cross_residual,29,5,1.7438913583755493,0.09389671361502347
ai,cross_residual,29,6,1.354421353340149,0.12972972972972974
ai,cross_residual,29,7,1.0453725099563598,0.12093023255813952
ai,cross_residual,29,8,0.7474812507629395,0.1473684210526316
ai,cross_residual,29,9,0.538102525472641,0.17258883248730966
ai,cross_residual,29,10,0.35686091184616087,0.17346938775510204
ai,cross_residual,29,11,0.2393296927213669,0.17142857142857143
ai,cross_residual,29,12,0.1582317978143692,0.16853932584269665
ai,cross_residual,29,13,0.11308981031179428,0.18181818181818185
ai,cross_residual,29,14,0.0890867292881012,0.19209039548022597
ai,cross_residual,29,15,0.06213536188006401,0.1871345029239766
ai,cross_residual,47,1,3.2873262405395507,0
ai,cross_residual,47,2,2.80878586769104,0
ai,cross_residual,47,3,2.436341094970703,0
ai,cross_residual,47,4,2.0489145517349243,0.08040201005025126
ai,cross_residual,47,5,1.6520582675933837,0.09326424870466321
ai,cross_residual,47,6,1.254606509208679,0.13756613756613756
ai,cross_residual,47,7,0.914209246635437,0.15609756097560973
ai,cross_residual,47,8,0.6389551401138306,0.1595744680851064
ai,cross_residual,47,9,0.4342778980731964,0.15841584158415842
ai,cross_residual,47,10,0.2876057267189026,0.143646408839779
ai,cross_residual,47,11,0.19402267634868622,0.16216216216216217
ai,cross_residual,47,12,0.13696571439504623,0.14942528735632182
ai,cross_residual,47,13,0.10170776993036271,0.16853932584269662
ai,cross_residual,47,14,0.08374233841896057,0.16
ai,cross_residual,47,15,0.06058200895786285,0.1888888888888889
science,bigru,13,1,3.416031742095947,0
science,bigru,13,2,3.037059020996094,0.04669260700389106
science,bigru,13,3,2.742607069015503,0.055944055944055944
science,bigru,13,4,2.43253116607666,0.10476190476190475
science,bigru,13,5,2.091484260559082,0.13541666666666666
science,bigru,13,6,1.7370506048202514,0.13852813852813853
science,bigru,13,7,1.3619739294052124,0.1516393442622951
science,bigru,13,8,1.020580178499222,0.15969581749049427
science,bigru,13,9,0.7323145776987076,0.14979757085020243
science,bigru,13,10,0.5359904378652572,0.17037037037037037
science,bigru,13,11,0.36859830021858214,0.19178082191780818
science,bigru,13,12,0.24811407178640366,0.18992248062015504
science,bigru,13,13,0.17604964673519136,0.17358490566037738
science,bigru,13,14,0.12869435995817186,0.21524663677130046
science,bigru,13,15,0.09289060235023498,0.21923937360178972
science,bigru,29,1,3.42729856967926,0
