domain,method,seed,precision,recall,f1,train_sentences,test_sentences
ai,bigru,13,0.21413864104323954,0.17557681485649973,0.19294990723562153,80,430
ai,bigru,29,0.25203989120580234,0.15644344400675295,0.19305555555555554,80,430
ai,bigru,47,0.28294573643410853,0.16432189082723692,0.20790316838732648,80,430
ai,cross_residual,13,0.25928623452294247,0.2003376477208779,0.22603174603174603,80,430
ai,cross_residual,29,0.2619669277632724,0.16938660664040517,0.20574162679425836,80,430
ai,cross_residual,47,0.3525264394829612,0.16882386043894204,0.228310502283105,80,430
science,bigru,13,0.13795180722891567,0.15384615384615385,0.1454660949658568,158,532
science,bigru,29,0.24986025712688653,0.15015115888478334,0.18757868233319341,158,532
science,bigru,47,0.11872494750906662,0.20893516963385958,0.1514118792599805,158,532
science,cross_residual,13,0.1741958800144561,0.1619079610345986,0.1678272980501393,158,532
science,cross_residual,29,0.32426127527216175,0.14007389989922742,0.19563687543983113,158,532
science,cross_residual,47,0.13793894881799404,0.20188108834397045,0.16389419143714207,158,532
literature,bigru,13,0.12517515179822514,0.12126696832579185,0.12319007124798896,80,416
literature,bigru,29,0.0943056493360342,0.18959276018099547,0.12595821433939577,80,416
literature,bigru,47,0.1631625703286941,0.2493212669683258,0.19724360121711118,80,416
literature,cross_residual,13,0.17275943396226415,0.132579185520362,0.15002560163850487,80,416
literature,cross_residual,29,0.14955357142857142,0.18190045248868777,0.16414863209473254,80,416
literature,cross_residual,47,0.18853255587949466,0.26334841628959277,0.21974702661884088,80,416
music,bigru,13,0.09042893725992318,0.1756294684488654,0.11938721605916536,74,457
music,bigru,29,0.10741993236522777,0.167858253030774,0.13100436681222707,74,457
music,bigru,47,0.10128913443830571,0.17096673919801056,0.12721174973979416,74,457
music,cross_residual,13,0.1258741258741259,0.14547715262667082,0.13496755587599135,74,457
music,cross_residual,29,0.1318233295583239,0.18091389493316754,0.15251572327044025,74,457
music,cross_residual,47,0.1504315659679408,0.2275411874417159,0.18112087096375107,74,457
politics,bigru,13,0.29232039636663915,0.25621230398069966,0.2730779120596555,159,650
politics,bigru,29,0.30160618679357526,0.24463208685162846,0.2701478619954709,159,650
politics,bigru,47,0.31947069943289225,0.28540410132689986,0.3014780835881753,159,650
politics,cross_residual,13,0.37861915367483295,0.2870928829915561,0.3265642151481888,159,650
politics,cross_residual,29,0.29127324749642347,0.24559710494571774,0.26649214659685866,159,650
politics,cross_residual,47,0.3333333333333333,0.2965018094089264,0.31384065372829417,159,650
