dataset,system,seed,epoch,step,loss,started_at_utc
conll04,eae,42,1,195,0.05035,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,200,0.02424,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,205,0.00511,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,210,0.03397,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,215,0.02503,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,220,0.02313,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,225,0.00014,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,230,0.00023,2026-09-04T04:13:40.146744+00:00
conll04,hrge,42,1,5,0.08867,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,10,0.01604,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,15,0.02191,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,20,0.05551,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,25,0.06477,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,30,0.05875,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,35,0.10087,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,40,0.04097,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,45,0.02298,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,50,0.03304,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,55,0.02129,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,60,0.01,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,65,0.00721,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,70,0.06835,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,75,0.01503,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,80,0.01718,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,85,0.00038,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,90,0.04119,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,95,0.03391,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,100,0.02642,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,105,0.05311,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,110,0.0605,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,115,0.00102,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,120,0.06204,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,125,0.01996,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,130,0.02078,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,135,0.00112,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,140,0.04774,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,145,0.00033,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,150,0.01761,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,155,0.02827,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,160,0.01478,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,165,0.01647,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,170,0.03037,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,175,0.03255,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,180,0.03176,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,185,0.02948,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,190,0.00027,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,195,0.04472,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,200,0.02291,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,205,0.01464,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,210,0.03544,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,215,0.03011,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,220,0.04018,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,225,8e-05,2026-09-04T04:31:46.210633+00:00
conll04,hrge,42,1,230,0.00013,2026-09-04T04:31:46.210633+00:00
ade,eae,42,1,5,0.00668,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,10,0.01993,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,15,0.03783,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,20,0.001,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,25,0.04034,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,30,0.00191,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,35,0.00018,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,40,0.00035,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,45,0.00214,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,50,0.00225,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,55,0.01829,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,60,0.00381,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,65,0.02773,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,70,0.01721,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,75,0.00048,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,80,0.00081,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,85,0.00197,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,90,0.00718,2026-09-04T08:54:54.422954+00:00
